time,queue
0,0
5,0
6,284
8,0
9,101
11,0
12,94
14,0
15,90
17,0
18,120
20,0
21,113
23,0
24,74
26,0
27,97
29,0
30,117
32,0
33,100
35,0
36,92
38,0
39,95
41,0
42,77
44,0
45,102
47,0
48,116
50,0
51,97
53,0
54,102
56,0
57,91
59,0
60,113
62,0
63,99
65,0
66,111
68,0
69,100
71,0
72,92
74,0
75,105
77,0
78,112
80,0
81,107
83,0
84,104
86,0
87,97
89,0
90,107
92,0
93,88
95,0
96,86
98,0
99,91
101,0
102,107
104,0
105,102
107,0
108,101
110,0
111,115
113,0
114,103
116,0
117,106
119,0
120,95
122,0
123,107
125,0
126,99
128,0
129,104
131,0
132,109
134,0
135,111
137,0
138,83
140,0
141,101
143,0
144,96
146,27
147,110
149,50
150,118
152,0
153,144
155,0
156,104
158,0
159,83
161,0
162,91
164,0
165,81
167,0
168,103
170,0
171,92
173,0
174,86
176,0
177,72
179,0
180,92
182,0
183,96
185,0
186,90
188,0
189,97
191,0
192,97
194,0
195,110
197,0
198,91
200,0
201,119
203,0
204,103
206,0
207,86
209,0
210,106
212,0
213,105
215,0
216,94
218,0
219,112
221,0
222,96
224,0
225,91
227,0
228,87
230,0
231,105
233,0
234,104
236,0
237,98
239,0
240,109
242,0
243,105
245,0
246,107
248,0
249,90
251,0
252,106
254,0
255,93
257,0
258,90
260,0
261,104
263,0
264,111
266,0
267,112
269,0
270,88
272,0
273,94
275,0
276,106
278,0
279,104
281,0
282,82
284,0
285,87
287,0
288,94
290,0
291,86
293,0
294,104
296,0
297,121
299,0
300,82
302,0
303,117
305,0
306,103
308,0
309,114
311,0
312,113
314,0
315,107
317,0
318,91
320,0
321,110
323,0
324,115
326,168
327,87
329,221
330,268
332,0
333,324
335,0
336,111
338,0
339,102
341,0
342,94
344,0
345,99
347,0
348,109
350,0
351,100
353,0
354,93
356,0
357,117
359,0
360,101
362,0
363,102
365,0
366,115
368,0
369,96
371,0
372,109
374,0
375,93
377,0
378,103
380,0
381,88
383,0
384,97
386,0
387,113
389,0
390,93
392,0
393,105
395,0
396,98
398,0
399,103
401,0
402,106
404,0
405,89
407,0
408,96
410,0
411,91
413,0
414,100
416,0
417,105
419,0
420,95
422,0
423,113
425,0
426,108
428,25
429,100
431,0
432,122
434,0
435,95
437,0
438,112
440,0
441,106
443,0
444,100
446,0
447,89
449,28
450,110
452,0
453,146
455,0
456,101
458,0
459,88
461,0
462,119
464,0
465,101
467,0
468,131
470,0
471,101
473,0
474,87
476,0
477,84
479,0
480,103
482,0
483,116
485,0
486,99
488,0
489,89
491,0
492,105
494,0
495,92
497,0
498,102
500,0
501,109
503,0
504,103
506,0
507,108
509,0
510,109
512,0
513,105
515,0
516,103
518,0
519,110
521,0
522,93
524,0
525,122
527,0
528,115
530,0
531,113
533,0
534,90
536,0
537,101
539,0
540,104
542,0
543,95
545,0
546,89
548,0
549,95
551,0
552,80
554,0
555,100
557,0
558,98
560,0
561,102
563,0
564,100
566,0
