time,queue
0,0
5,0
6,398
8,0
9,137
11,0
12,135
14,0
15,142
17,0
18,118
20,63
21,137
23,0
24,209
26,28
27,146
29,0
30,146
32,0
33,125
35,0
36,139
38,94
39,153
41,98
42,196
44,18
45,232
47,0
48,176
50,0
51,153
53,0
54,138
56,26
57,134
59,0
60,159
62,0
63,134
65,0
66,143
68,0
69,126
71,0
72,124
74,0
75,125
77,0
78,149
80,0
81,132
83,0
84,131
86,0
87,121
89,0
90,127
92,0
93,126
95,37
96,102
98,0
99,161
101,0
102,138
104,0
105,115
107,0
108,131
110,0
111,153
113,0
114,154
116,0
117,123
119,0
120,137
122,0
123,126
125,0
126,127
128,0
129,132
131,0
132,127
134,31
135,143
137,0
138,177
140,0
141,130
143,0
144,119
146,0
147,109
149,0
150,130
152,0
153,115
155,0
156,110
158,0
159,115
161,0
162,134
164,0
165,123
167,0
168,140
170,103
171,128
173,103
174,227
176,86
177,232
179,0
180,210
182,79
183,130
185,32
186,220
188,0
189,158
191,0
192,124
194,78
195,127
197,0
198,233
200,0
201,129
203,0
204,131
206,0
207,137
209,0
210,134
212,0
213,154
215,0
216,130
218,0
219,120
221,95
222,125
224,61
225,221
227,70
228,204
230,31
231,203
233,19
234,147
236,0
237,160
239,0
240,127
242,27
243,139
245,147
246,158
248,204
249,284
251,0
252,317
254,0
255,125
257,0
258,137
260,0
261,146
263,0
264,147
266,0
267,150
269,0
270,144
272,0
273,140
275,0
276,146
278,0
279,120
281,0
282,156
284,0
285,125
287,0
288,128
290,0
291,131
293,0
294,120
296,0
297,129
299,0
300,108
302,0
303,125
305,0
306,137
308,0
309,161
311,151
312,143
314,83
315,289
317,3
318,213
320,0
321,129
323,0
324,138
326,0
327,140
329,97
330,117
332,98
333,233
335,108
336,241
338,0
339,210
341,0
342,136
344,0
345,136
347,0
348,137
350,0
351,111
353,0
354,135
356,12
357,128
359,0
360,145
362,0
363,133
365,0
366,139
368,0
369,131
371,45
372,126
374,71
375,168
377,103
378,217
380,0
381,229
383,0
384,125
386,0
387,130
389,0
390,122
392,0
393,144
395,0
396,128
398,0
399,151
401,80
402,151
404,153
405,215
407,20
408,294
410,0
411,162
413,0
414,123
416,0
417,136
419,0
420,135
422,0
423,119
425,78
426,137
428,98
429,214
431,18
432,236
434,0
435,143
437,0
438,136
440,0
441,122
443,0
444,154
446,27
447,134
449,118
450,161
452,0
453,224
455,0
456,133
458,0
459,134
461,0
462,130
464,0
465,131
467,19
468,118
470,0
471,150
473,10
474,149
476,0
477,150
479,0
480,125
482,0
483,113
485,0
486,129
488,135
489,138
491,0
492,265
494,116
495,127
497,11
498,250
500,0
501,140
503,0
504,136
506,0
507,117
509,0
510,142
512,0
513,154
515,0
516,127
518,0
519,121
521,0
522,114
524,0
525,127
527,0
528,138
530,39
531,124
533,0
534,151
536,0
537,143
539,61
540,153
542,33
543,190
545,0
546,168
548,27
549,115
551,0
552,180
554,0
555,132
557,13
558,146
560,0
561,158
563,0
564,117
566,3
