time,queue
0,0
5,0
6,158
8,0
9,63
11,0
12,58
14,0
15,54
17,0
18,59
20,0
21,65
23,0
24,72
26,0
27,67
29,0
30,60
32,0
33,61
35,0
36,70
38,0
39,72
41,0
42,76
44,0
45,66
47,0
48,97
50,0
51,51
53,0
54,75
56,0
57,58
59,0
60,61
62,0
63,69
65,0
66,72
68,0
69,61
71,0
72,61
74,0
75,63
77,0
78,62
80,0
81,52
83,0
84,68
86,0
87,51
89,0
90,66
92,0
93,56
95,0
96,64
98,0
99,59
101,0
102,59
104,0
105,63
107,0
108,61
110,0
111,73
113,0
114,75
116,0
117,75
119,0
120,74
122,0
123,67
125,0
126,73
128,0
129,63
131,0
132,67
134,0
135,73
137,0
138,72
140,0
141,78
143,0
144,82
146,0
147,50
149,0
150,52
152,0
153,76
155,0
156,54
158,0
159,66
161,0
162,71
164,0
165,78
167,0
168,59
170,0
171,60
173,0
174,60
176,0
177,55
179,0
180,76
182,0
183,73
185,0
186,53
188,0
189,59
191,0
192,56
194,0
195,79
197,0
198,62
200,0
201,67
203,0
204,78
206,0
207,67
209,0
210,66
212,0
213,61
215,0
216,66
218,0
219,68
221,0
222,68
224,0
225,75
227,0
228,57
230,0
231,57
233,0
234,51
236,0
237,80
239,0
240,79
242,0
243,54
245,0
246,64
248,0
249,61
251,0
252,71
254,0
255,75
257,0
258,58
260,0
261,68
263,0
264,75
266,0
267,73
269,0
270,58
272,0
273,81
275,0
276,75
278,0
279,63
281,0
282,66
284,0
285,67
287,0
288,63
290,0
291,73
293,0
294,59
296,0
297,60
299,0
300,56
302,0
303,72
305,0
306,67
308,0
309,61
311,0
312,70
314,0
315,58
317,0
318,84
320,0
321,68
323,0
324,66
326,0
327,68
329,0
330,71
332,0
333,67
335,0
336,57
338,0
339,59
341,0
342,66
344,0
345,53
347,0
348,58
350,0
351,66
353,0
354,60
356,0
357,75
359,0
360,68
362,0
363,77
365,0
366,59
368,0
369,56
371,0
372,78
374,0
375,64
377,0
378,72
380,0
381,84
383,0
384,64
386,0
387,65
389,0
390,54
392,0
393,54
395,0
396,60
398,0
399,57
401,0
402,58
404,0
405,67
407,0
408,65
410,0
411,74
413,0
414,71
416,0
417,64
419,0
420,59
422,0
423,65
425,0
426,67
428,0
429,56
431,0
432,55
434,0
435,80
437,0
438,56
440,0
441,62
443,0
444,69
446,0
447,64
449,0
450,74
452,0
453,74
455,0
456,68
458,0
459,59
461,0
462,55
464,0
465,69
467,0
468,67
470,0
471,61
473,0
474,64
476,0
477,62
479,0
480,51
482,0
483,75
485,0
486,62
488,0
489,73
491,0
492,74
494,0
495,66
497,0
498,61
500,0
501,64
503,0
504,63
506,0
507,73
509,0
510,61
512,0
513,62
515,0
516,59
518,0
519,67
521,0
522,62
524,0
525,62
527,0
528,70
530,0
531,64
533,0
534,65
536,0
537,57
539,0
540,66
542,0
543,71
545,0
546,59
548,0
549,61
551,0
552,61
554,0
555,54
557,0
558,72
560,0
561,54
563,0
564,65
566,0
