time,queue
0,0
5,0
6,491
8,2
9,180
11,0
12,162
14,0
15,169
17,0
18,174
20,139
21,169
23,181
24,301
26,242
27,353
29,293
30,397
32,288
33,456
35,400
36,452
38,313
39,541
41,532
42,489
44,497
45,714
47,481
48,660
50,585
51,641
53,482
54,747
56,312
57,644
59,274
60,477
62,360
63,445
65,243
66,523
68,202
69,412
71,217
72,383
74,258
75,365
77,200
78,412
80,195
81,370
83,191
84,335
86,330
87,331
89,285
90,489
92,163
93,442
95,294
96,352
98,313
99,463
101,486
102,477
104,592
105,645
107,419
108,741
110,469
111,581
113,504
114,645
116,560
117,679
119,715
120,736
122,685
123,883
125,468
126,827
128,506
129,632
131,427
132,684
134,389
135,587
137,263
138,572
140,174
141,424
143,96
144,321
146,50
147,294
149,37
150,229
152,0
153,171
155,0
156,170
158,0
159,149
161,23
162,161
164,0
165,191
167,138
168,155
170,107
171,290
173,46
174,286
176,136
177,216
179,190
180,300
182,42
183,353
185,238
186,209
188,173
189,410
191,24
192,329
194,0
195,177
197,11
198,133
200,0
201,171
203,35
204,188
206,0
207,206
209,0
210,173
212,0
213,162
215,0
216,158
218,2
219,162
221,0
222,158
224,0
225,181
227,0
228,179
230,0
231,162
233,47
234,162
236,189
237,219
239,32
240,348
242,0
243,171
245,0
246,172
248,0
249,193
251,0
252,180
254,212
255,155
257,267
258,377
260,134
261,419
263,20
264,289
266,0
267,163
269,180
270,147
272,187
273,353
275,227
276,351
278,258
279,405
281,257
282,400
284,361
285,436
287,200
288,539
290,151
291,358
293,0
294,334
296,0
297,142
299,0
300,156
302,96
303,156
305,205
306,255
308,71
309,368
311,12
312,235
314,177
315,160
317,249
318,368
320,367
321,408
323,337
324,534
326,396
327,490
329,427
330,566
332,462
333,577
335,481
336,633
338,393
339,624
341,523
342,565
344,580
345,683
347,540
348,745
350,440
351,700
353,489
354,597
356,385
357,635
359,260
360,542
362,219
363,420
365,20
366,365
368,72
369,193
371,80
372,230
374,0
375,242
377,65
378,159
380,68
381,226
383,188
384,232
386,212
387,384
389,249
390,379
392,33
393,418
395,210
396,207
398,273
399,335
401,334
402,431
404,285
405,494
407,202
408,456
410,206
411,361
413,179
414,377
416,100
417,349
419,94
420,276
422,258
423,245
425,254
426,447
428,333
429,426
431,380
432,487
434,442
435,532
437,512
438,593
440,359
441,670
443,353
444,516
446,269
447,524
449,176
450,434
452,282
453,340
455,385
456,441
458,472
459,551
461,398
462,638
464,402
465,569
467,460
468,562
470,347
471,601
473,286
474,481
476,413
477,463
479,420
480,563
482,352
483,580
485,352
486,512
488,344
489,534
491,316
492,513
494,516
495,493
497,434
498,683
500,376
501,603
503,148
504,548
506,252
507,305
509,165
510,434
512,63
513,339
515,0
516,230
518,0
519,152
521,0
522,153
524,0
525,185
527,0
528,132
530,109
531,150
533,117
534,260
536,285
537,281
539,152
540,464
542,384
543,340
545,395
546,533
548,440
549,566
551,529
552,601
554,525
555,677
557,590
558,685
560,747
561,753
563,868
564,919
566,901
