time,queue
0,0
5,0
6,483
8,22
9,168
11,0
12,185
14,5
15,164
17,5
18,175
20,38
21,180
23,127
24,214
26,34
27,285
29,0
30,193
32,0
33,156
35,0
36,156
38,0
39,160
41,154
42,185
44,247
45,318
47,238
48,406
50,343
51,410
53,216
54,507
56,102
57,355
59,14
60,247
62,143
63,187
65,105
66,285
68,24
69,272
71,127
72,155
74,35
75,296
77,0
78,197
80,76
81,173
83,0
84,242
86,0
87,143
89,0
90,171
92,67
93,147
95,95
96,250
98,10
99,250
101,71
102,181
104,0
105,223
107,70
108,173
110,2
111,242
113,0
114,177
116,131
117,139
119,255
120,291
122,256
123,410
125,190
126,427
128,193
129,337
131,29
132,346
134,0
135,188
137,109
138,151
140,0
141,246
143,0
144,167
146,160
147,158
149,42
150,310
152,0
153,198
155,0
156,161
158,58
159,141
161,0
162,207
164,0
165,156
167,0
168,174
170,0
171,139
173,0
174,149
176,0
177,161
179,72
180,150
182,247
183,245
185,50
186,402
188,0
189,195
191,12
192,167
194,0
195,173
197,0
198,150
200,0
201,142
203,0
204,163
206,0
207,144
209,128
210,166
212,265
213,286
215,225
216,446
218,166
219,383
221,178
222,324
224,245
225,311
227,244
228,396
230,170
231,407
233,67
234,314
236,116
237,217
239,173
240,286
242,112
243,320
245,0
246,266
248,72
249,156
251,0
252,237
254,0
255,167
257,0
258,185
260,0
261,152
263,115
264,137
266,162
267,273
269,19
270,324
272,0
273,165
275,105
276,146
278,30
279,261
281,0
282,181
284,39
285,162
287,0
288,198
290,0
291,155
293,0
294,146
296,0
297,160
299,266
300,165
302,273
303,429
305,284
306,430
308,104
309,437
311,0
312,250
314,82
315,161
317,0
318,243
320,0
321,123
323,108
324,168
326,296
327,269
329,278
330,468
332,334
333,449
335,284
336,509
338,305
339,444
341,220
342,474
344,251
345,381
347,100
348,400
350,0
351,224
353,0
354,164
356,0
357,163
359,0
360,168
362,0
363,164
365,0
366,169
368,0
369,161
371,32
372,159
374,47
375,176
377,44
378,197
380,53
381,212
383,59
384,204
386,54
387,218
389,167
390,244
392,144
393,335
395,0
396,309
398,127
399,156
401,150
402,250
404,201
405,304
407,97
408,371
410,126
411,254
413,114
414,281
416,63
417,276
419,0
420,213
422,70
423,177
425,247
426,220
428,210
429,419
431,287
432,377
434,276
435,466
437,303
438,445
440,323
441,468
443,204
444,467
446,28
447,380
449,90
450,174
452,0
453,240
455,107
456,175
458,83
459,275
461,81
462,248
464,0
465,248
467,0
468,163
470,42
471,166
473,27
474,181
476,0
477,173
479,0
480,180
482,0
483,172
485,0
486,146
488,0
489,164
491,34
492,173
494,28
495,181
497,23
498,217
500,45
501,192
503,0
504,206
506,0
507,145
509,0
510,183
512,0
513,167
515,0
516,168
518,93
519,175
521,122
522,230
524,0
525,276
527,0
528,144
530,250
531,151
533,109
534,398
536,99
537,278
539,156
540,271
542,179
543,334
545,181
546,357
548,15
549,355
551,49
552,172
554,0
555,199
557,0
558,148
560,0
561,153
563,56
564,163
566,0
