time,queue
1161,32
1163,0
1164,33
1166,0
1167,19
1169,0
1170,33
1172,0
1173,31
1175,0
1176,25
1178,0
1179,35
1181,0
1182,33
1184,0
1185,27
1187,0
1188,33
1190,0
1191,29
1193,0
1194,36
1196,0
1197,33
1199,0
1200,36
1202,0
1203,40
1205,0
1206,30
1208,0
1209,32
1211,0
1212,41
1214,0
1215,27
1217,0
1218,31
1220,0
1221,23
1223,0
1224,37
1226,0
1227,29
1229,0
1230,35
1232,0
1233,35
1235,0
1236,34
1238,0
1239,37
1241,0
1242,42
1244,0
1245,34
1247,0
1248,24
1250,0
1251,28
1253,0
1254,27
1256,0
1257,32
1259,0
1260,37
1262,0
1263,35
1265,0
1266,37
1268,0
1269,36
1271,0
1272,38
1274,0
1275,31
1277,0
1278,38
1280,0
1281,40
1283,0
1284,39
1286,0
1287,30
1289,0
1290,29
1292,0
1293,34
1295,0
1296,30
1298,0
1299,37
1301,0
1302,28
1304,0
1305,36
1307,0
1308,31
1310,0
1311,27
1313,0
1314,41
1316,0
1317,50
1319,0
1320,28
1322,0
1323,48
1325,0
1326,25
1328,0
1329,34
1331,0
1332,36
1334,0
1335,36
1337,0
1338,39
1340,0
1341,36
1343,0
1344,35
1346,0
1347,28
1349,0
1350,27
1352,0
1353,28
1355,0
1356,42
1358,0
1359,29
1361,0
1362,24
1364,0
1365,33
1367,0
1368,33
1370,0
1371,37
1373,0
1374,28
1376,0
1377,33
1379,0
1380,39
1382,0
1383,29
1385,0
1386,34
1388,0
1389,33
1391,0
1392,30
1394,0
1395,33
1397,0
1398,31
1400,0
1401,35
1403,0
1404,43
1406,0
1407,25
1409,0
1410,30
1412,0
1413,33
1415,0
1416,38
1418,0
1419,27
1421,0
1422,28
1424,0
1425,40
1427,0
1428,34
1430,0
1431,32
1433,0
1434,36
1436,0
1437,28
1439,0
1440,36
1442,0
1443,21
1445,0
1446,28
1448,0
1449,30
1451,0
1452,38
1454,0
1455,24
1457,0
1458,38
1460,0
1461,39
1463,0
1464,29
1466,0
1467,28
1469,0
1470,24
1472,0
1473,28
1475,0
1476,36
1478,0
1479,26
1481,0
1482,38
1484,0
1485,26
1487,0
1488,37
1490,0
1491,34
1493,0
1494,42
1496,0
1497,40
1499,0
1500,35
1502,0
1503,36
1505,0
